station_id,latitude,longitude,timezone,elevation (m),device_serial,device_id,device_agl (m)
3046,29.05601,-80.90743,America/New_York,3.0174,AR-00003097,15614,1.8288
3046,29.05601,-80.90743,America/New_York,3.0174,SK-00009846,18977,7.62
3857,37.04093,-76.29953,America/New_York,2.4384,SK-00007008,9204,7.62
3857,37.04093,-76.29953,America/New_York,2.4384,AR-00013663,15338,1.7983
868,28.76997,-81.37832,America/New_York,21.7,AR-00006759,1415,0.3048
868,28.76997,-81.37832,America/New_York,21.7,SK-00000725,7016,2.0
908,46.54705,-124.05907,America/Los_Angeles,7.7185,AR-00007624,6371,3.048
908,46.54705,-124.05907,America/Los_Angeles,7.7185,SK-00010933,8525,7.62
957,40.14173,-83.10715,America/New_York,273.9872,AR-00000228,1591,1.524
957,40.14173,-83.10715,America/New_York,273.9872,SK-00004596,8000,3.048
1131,40.54684,-105.05443,America/Denver,1517.0005,AR-00000254,1862,0.9144
1131,40.54684,-105.05443,America/Denver,1517.0005,SK-00007220,7780,3.9624
1564,43.89631,-70.32518,America/New_York,116.6204,AR-00010386,8004,2.1336
1564,43.89631,-70.32518,America/New_York,116.6204,SK-00008196,8032,9.144
1564,43.89631,-70.32518,America/New_York,116.6204,AR-00007611,8035,2.1336
1570,41.26607,-72.7149,America/New_York,7.6123,AR-00001788,2700,1.2192
1570,41.26607,-72.7149,America/New_York,7.6123,SK-00011693,9289,3.048
1575,38.96216,-77.02008,America/New_York,68.6983,AR-00009263,2711,3.048
1575,38.96216,-77.02008,America/New_York,68.6983,SK-00012275,9087,9.144
1585,32.70792,-97.52321,America/Chicago,245.5291,AR-00003846,2731,1.2192
1585,32.70792,-97.52321,America/Chicago,245.5291,SK-00003910,8882,0.6096
1601,32.9527,-117.22018,America/Los_Angeles,103.7564,AR-00003777,2760,1.524
1601,32.9527,-117.22018,America/Los_Angeles,103.7564,SK-00001311,8663,6.096
1811,42.49153,-71.14547,America/New_York,41.4806,SK-00010422,6393,0.0
1811,42.49153,-71.14547,America/New_York,41.4806,SK-00008873,6394,0.0
1811,42.49153,-71.14547,America/New_York,41.4806,AR-00003275,11457,1.8288
2248,39.38082,-82.85465,America/New_York,233.4768,AR-00003428,6666,1.524
2248,39.38082,-82.85465,America/New_York,233.4768,SK-00006824,8879,7.62
2448,33.86068,-92.3279,America/Chicago,72.4902,SK-00002844,8478,3.6576
2448,33.86068,-92.3279,America/Chicago,72.4902,AR-00000747,9946,1.524
2841,38.94434,-122.65689,America/Los_Angeles,550.9572,AR-00010268,5504,1.2192
2841,38.94434,-122.65689,America/Los_Angeles,550.9572,SK-00002489,8851,3.9624
3133,32.91069,-84.65897,America/New_York,255.2101,AR-00000414,8358,1.8288
3133,32.91069,-84.65897,America/New_York,255.2101,SK-00004416,9637,3.048
3133,32.91069,-84.65897,America/New_York,255.2101,AR-00008529,9638,1.8288
6544,35.30478,-120.68222,America/Los_Angeles,119.9998,AR-00004387,1473,1.524
6544,35.30478,-120.68222,America/Los_Angeles,119.9998,AR-00011398,4582,1.524
6544,35.30478,-120.68222,America/Los_Angeles,119.9998,SK-00001356,7309,7.62
6544,35.30478,-120.68222,America/Los_Angeles,119.9998,SK-00010473,16310,7.62
